x,lambdaTime_1e-05,lambdaRate_1e-05,lambda
-2.832e+06,NaN,NaN,0.23931
-2.8125e+06,NaN,NaN,0.24036
-2.793e+06,NaN,NaN,0.24099
-2.7734e+06,NaN,NaN,0.24135
-2.7539e+06,NaN,NaN,0.24156
-2.7344e+06,NaN,NaN,0.24168
-2.7148e+06,NaN,NaN,0.24175
-2.6953e+06,NaN,NaN,0.24178
-2.6758e+06,NaN,NaN,0.24181
-2.6563e+06,NaN,NaN,0.24182
-2.6367e+06,NaN,NaN,0.24182
-2.6172e+06,NaN,NaN,0.24183
-2.5977e+06,NaN,NaN,0.24183
-2.5781e+06,NaN,NaN,0.24183
-2.5586e+06,NaN,NaN,0.24183
-2.5391e+06,NaN,NaN,0.24183
-2.5195e+06,NaN,NaN,0.24183
-2.5e+06,NaN,NaN,0.24183
-2.4805e+06,NaN,NaN,0.24183
-2.4609e+06,NaN,NaN,0.24183
-2.4414e+06,NaN,NaN,0.24183
-2.4219e+06,NaN,NaN,0.24183
-2.4023e+06,NaN,NaN,0.24183
-2.3828e+06,NaN,NaN,0.24183
-2.3633e+06,NaN,NaN,0.24183
-2.3438e+06,NaN,NaN,0.24183
-2.3242e+06,NaN,NaN,0.24183
-2.3047e+06,NaN,NaN,0.24183
-2.2852e+06,NaN,NaN,0.24183
-2.2656e+06,NaN,NaN,0.24183
-2.2461e+06,NaN,NaN,0.24183
-2.2266e+06,NaN,NaN,0.24183
-2.207e+06,NaN,NaN,0.24183
-2.1875e+06,NaN,NaN,0.24183
-2.168e+06,NaN,NaN,0.24183
-2.1484e+06,NaN,NaN,0.24183
-2.1289e+06,NaN,NaN,0.24183
-2.1094e+06,NaN,NaN,0.24183
-2.0898e+06,NaN,NaN,0.24183
-2.0703e+06,NaN,NaN,0.24183
-2.0508e+06,NaN,NaN,0.24183
-2.0313e+06,NaN,NaN,0.24183
-2.0117e+06,NaN,NaN,0.24183
-1.9922e+06,NaN,NaN,0.24183
-1.9727e+06,NaN,NaN,0.24183
-1.9531e+06,NaN,NaN,0.24183
-1.9336e+06,NaN,NaN,0.24183
-1.9141e+06,NaN,NaN,0.24183
-1.8945e+06,NaN,NaN,0.24183
-1.875e+06,NaN,NaN,0.24183
-1.8555e+06,NaN,NaN,0.24183
-1.8359e+06,NaN,NaN,0.24183
-1.8164e+06,NaN,NaN,0.24183
-1.7969e+06,NaN,NaN,0.24183
-1.7773e+06,NaN,NaN,0.24183
-1.7578e+06,NaN,NaN,0.24183
-1.7383e+06,NaN,NaN,0.24183
-1.7188e+06,NaN,NaN,0.24183
-1.6992e+06,NaN,NaN,0.24183
-1.6797e+06,NaN,NaN,0.24183
-1.6602e+06,NaN,NaN,0.24183
-1.6406e+06,NaN,NaN,0.24183
-1.6211e+06,NaN,NaN,0.24183
-1.6016e+06,NaN,NaN,0.24183
-1.582e+06,NaN,NaN,0.24183
-1.5625e+06,NaN,NaN,0.24183
-1.543e+06,NaN,NaN,0.24183
-1.5234e+06,NaN,NaN,0.24183
-1.5039e+06,NaN,NaN,0.24183
-1.4844e+06,NaN,NaN,0.24183
-1.4648e+06,NaN,NaN,0.24183
-1.4453e+06,NaN,NaN,0.24183
-1.4258e+06,NaN,NaN,0.24183
-1.4063e+06,NaN,NaN,0.24183
-1.3867e+06,NaN,NaN,0.24183
-1.3672e+06,NaN,NaN,0.24183
-1.3477e+06,NaN,NaN,0.24183
-1.3281e+06,NaN,NaN,0.24183
-1.3086e+06,NaN,NaN,0.24183
-1.2891e+06,NaN,NaN,0.24183
-1.2695e+06,NaN,NaN,0.24183
-1.25e+06,NaN,NaN,0.24183
-1.2305e+06,NaN,NaN,0.24183
-1.2109e+06,NaN,NaN,0.24183
-1.1914e+06,NaN,NaN,0.24183
-1.1719e+06,NaN,NaN,0.24183
-1.1523e+06,NaN,NaN,0.24183
-1.1328e+06,NaN,NaN,0.24183
-1.1133e+06,NaN,NaN,0.24183
-1.0938e+06,NaN,NaN,0.24183
-1.0742e+06,NaN,NaN,0.24183
-1.0547e+06,NaN,NaN,0.24183
-1.0352e+06,NaN,NaN,0.24183
-1.0156e+06,NaN,NaN,0.24183
-9.9609e+05,NaN,NaN,0.24183
-9.7656e+05,NaN,NaN,0.24183
-9.5703e+05,NaN,NaN,0.24183
-9.375e+05,NaN,NaN,0.24183
-9.1797e+05,NaN,NaN,0.24183
-8.9844e+05,NaN,NaN,0.24183
-8.7891e+05,NaN,NaN,0.24183
-8.5938e+05,NaN,NaN,0.24183
-8.3984e+05,NaN,NaN,0.24183
-8.2031e+05,NaN,NaN,0.24183
-8.0078e+05,NaN,NaN,0.24183
-7.8125e+05,NaN,NaN,0.24183
-7.6172e+05,NaN,NaN,0.24183
-7.4219e+05,NaN,NaN,0.24183
-7.2266e+05,NaN,NaN,0.24183
-7.0313e+05,NaN,NaN,0.24183
-6.8359e+05,NaN,NaN,0.24183
-6.6406e+05,NaN,NaN,0.24183
-6.4453e+05,NaN,NaN,0.24183
-6.25e+05,NaN,NaN,0.24183
-6.0547e+05,NaN,NaN,0.24183
-5.8594e+05,NaN,NaN,0.24183
-5.6641e+05,NaN,NaN,0.24183
-5.4688e+05,NaN,NaN,0.24183
-5.2734e+05,NaN,NaN,0.24183
-5.0781e+05,NaN,NaN,0.24183
-4.8828e+05,NaN,NaN,0.24183
-4.6875e+05,NaN,NaN,0.24183
-4.4922e+05,NaN,NaN,0.24183
-4.2969e+05,NaN,NaN,0.24183
