x,lambdaTime_1e-05,lambdaRate_1e-05,lambda
3.9258e+06,NaN,NaN,1.4166e-32
3.9453e+06,NaN,NaN,7.4265e-33
3.9648e+06,NaN,NaN,3.8909e-33
3.9844e+06,NaN,NaN,2.0372e-33
4.0039e+06,NaN,NaN,1.066e-33
4.0234e+06,NaN,NaN,5.574e-34
4.043e+06,NaN,NaN,2.9129e-34
4.0625e+06,NaN,NaN,1.5213e-34
4.082e+06,NaN,NaN,7.9401e-35
4.1016e+06,NaN,NaN,4.1416e-35
4.1211e+06,NaN,NaN,2.159e-35
4.1406e+06,NaN,NaN,1.1248e-35
4.1602e+06,NaN,NaN,5.8562e-36
4.1797e+06,NaN,NaN,3.0472e-36
4.1992e+06,NaN,NaN,1.5847e-36
4.2188e+06,NaN,NaN,8.2359e-37
4.2383e+06,NaN,NaN,4.2779e-37
4.2578e+06,NaN,NaN,2.2207e-37
4.2773e+06,NaN,NaN,1.1521e-37
4.2969e+06,NaN,NaN,5.974e-38
4.3164e+06,NaN,NaN,3.0958e-38
4.3359e+06,NaN,NaN,1.6034e-38
4.3555e+06,NaN,NaN,8.2996e-39
4.375e+06,NaN,NaN,4.2937e-39
4.3945e+06,NaN,NaN,2.2201e-39
4.4141e+06,NaN,NaN,1.1472e-39
4.4336e+06,NaN,NaN,5.9252e-40
4.4531e+06,NaN,NaN,3.0586e-40
4.4727e+06,NaN,NaN,1.578e-40
4.4922e+06,NaN,NaN,8.1365e-41
4.5117e+06,NaN,NaN,4.1932e-41
4.5313e+06,NaN,NaN,2.1598e-41
4.5508e+06,NaN,NaN,1.1119e-41
4.5703e+06,NaN,NaN,5.7211e-42
4.5898e+06,NaN,NaN,2.9422e-42
4.6094e+06,NaN,NaN,1.5123e-42
4.6289e+06,NaN,NaN,7.769e-43
4.6484e+06,NaN,NaN,3.9892e-43
4.668e+06,NaN,NaN,2.0473e-43
4.6875e+06,NaN,NaN,1.0501e-43
4.707e+06,NaN,NaN,5.3839e-44
4.7266e+06,NaN,NaN,2.7588e-44
4.7461e+06,NaN,NaN,1.413e-44
4.7656e+06,NaN,NaN,7.2335e-45
4.7852e+06,NaN,NaN,3.7013e-45
4.8047e+06,NaN,NaN,1.8931e-45
4.8242e+06,NaN,NaN,9.6788e-46
4.8438e+06,NaN,NaN,4.9478e-46
4.8633e+06,NaN,NaN,2.5302e-46
4.8828e+06,NaN,NaN,1.2959e-46
4.9023e+06,NaN,NaN,6.6674e-47
4.9219e+06,NaN,NaN,3.4704e-47
4.9414e+06,NaN,NaN,1.8571e-47
4.9609e+06,NaN,NaN,1.058e-47
4.9805e+06,NaN,NaN,6.899e-48
