x,lambdaTime_1e-05,lambdaRate_1e-05,lambda
-1.3867e+06,NaN,NaN,0.24183
-1.3672e+06,NaN,NaN,0.24183
-1.3477e+06,NaN,NaN,0.24183
-1.3281e+06,NaN,NaN,0.24183
-1.3086e+06,NaN,NaN,0.24183
-1.2891e+06,NaN,NaN,0.24183
-1.2695e+06,NaN,NaN,0.24183
-1.25e+06,NaN,NaN,0.24183
-1.2305e+06,NaN,NaN,0.24183
-1.2109e+06,NaN,NaN,0.24183
-1.1914e+06,NaN,NaN,0.24183
-1.1719e+06,NaN,NaN,0.24183
-1.1523e+06,NaN,NaN,0.24183
-1.1328e+06,NaN,NaN,0.24183
-1.1133e+06,NaN,NaN,0.24183
-1.0938e+06,NaN,NaN,0.24183
-1.0742e+06,NaN,NaN,0.24183
-1.0547e+06,NaN,NaN,0.24183
-1.0352e+06,NaN,NaN,0.24183
-1.0156e+06,NaN,NaN,0.24183
-9.9609e+05,NaN,NaN,0.24183
-9.7656e+05,NaN,NaN,0.24183
-9.5703e+05,NaN,NaN,0.24183
-9.375e+05,NaN,NaN,0.24183
-9.1797e+05,NaN,NaN,0.24183
-8.9844e+05,NaN,NaN,0.24183
-8.7891e+05,NaN,NaN,0.24183
-8.5938e+05,NaN,NaN,0.24183
-8.3984e+05,NaN,NaN,0.24183
-8.2031e+05,NaN,NaN,0.24183
-8.0078e+05,NaN,NaN,0.24183
-7.8125e+05,NaN,NaN,0.24183
-7.6172e+05,NaN,NaN,0.24183
-7.4219e+05,NaN,NaN,0.24183
-7.2266e+05,NaN,NaN,0.24183
-7.0313e+05,NaN,NaN,0.24183
-6.8359e+05,NaN,NaN,0.24183
-6.6406e+05,NaN,NaN,0.24183
-6.4453e+05,NaN,NaN,0.24183
-6.25e+05,NaN,NaN,0.24183
-6.0547e+05,NaN,NaN,0.24183
-5.8594e+05,NaN,NaN,0.24183
-5.6641e+05,NaN,NaN,0.24183
-5.4688e+05,NaN,NaN,0.24183
-5.2734e+05,NaN,NaN,0.24183
-5.0781e+05,NaN,NaN,0.24183
-4.8828e+05,NaN,NaN,0.24183
-4.6875e+05,NaN,NaN,0.24183
-4.4922e+05,NaN,NaN,0.24183
-4.2969e+05,NaN,NaN,0.24183
-4.1016e+05,NaN,NaN,0.24183
-3.9063e+05,NaN,NaN,0.24183
-3.7109e+05,NaN,NaN,0.24183
-3.5156e+05,NaN,NaN,0.24183
-3.3203e+05,NaN,NaN,0.24183
-3.125e+05,NaN,NaN,0.24183
-2.9297e+05,NaN,NaN,0.24183
-2.7344e+05,NaN,NaN,0.24183
-2.5391e+05,NaN,NaN,0.24183
-2.3438e+05,NaN,NaN,0.24183
-2.1484e+05,NaN,NaN,0.24183
-1.9531e+05,NaN,NaN,0.24183
-1.7578e+05,NaN,NaN,0.24183
-1.5625e+05,NaN,NaN,0.24183
-1.3672e+05,NaN,NaN,0.24183
-1.1719e+05,NaN,NaN,0.24183
-97656,NaN,NaN,0.24183
-78125,NaN,NaN,0.24183
-58594,NaN,NaN,0.24183
-39063,NaN,NaN,0.24183
-19531,NaN,NaN,0.24183
0,0.0050003,NaN,0.24183
19531,0.020001,1302,0.24183
39063,0.035002,1302,0.24183
58594,0.060003,781.21,0.24183
78125,0.10501,434.01,0.24183
97656,0.18501,244.13,0.24183
1.1719e+05,0.31002,156.24,0.24183
1.3672e+05,0.48002,114.88,0.24183
1.5625e+05,0.68503,95.27,0.24183
1.7578e+05,0.90505,88.774,0.24183
1.9531e+05,1.1351,84.914,0.24183
2.1484e+05,1.3601,86.801,0.24183
2.3438e+05,1.5901,84.914,0.24183
2.5391e+05,1.8201,84.914,0.24183
2.7344e+05,2.0451,86.801,0.24183
2.9297e+05,2.2751,84.914,0.24183
3.125e+05,2.5001,86.801,0.24183
3.3203e+05,2.7301,84.914,0.24183
3.5156e+05,2.9551,86.801,0.24183
3.7109e+05,3.1802,86.801,0.24183
3.9063e+05,3.4052,86.801,0.24183
4.1016e+05,3.6302,86.801,0.24183
4.2969e+05,3.8552,86.801,0.24183
4.4922e+05,4.0802,86.801,0.24183
4.6875e+05,4.3052,86.801,0.24183
4.8828e+05,4.5302,86.801,0.24183
5.0781e+05,4.7552,86.801,0.24183
5.2734e+05,4.9802,86.801,0.24183
5.4688e+05,5.2053,86.801,0.24183
5.6641e+05,5.4253,88.774,0.24183
5.8594e+05,5.6503,86.801,0.24183
6.0547e+05,5.8703,88.774,0.24183
6.25e+05,6.0953,86.801,0.24183
6.4453e+05,6.3153,88.774,0.24183
6.6406e+05,6.5403,86.801,0.24183
6.8359e+05,6.7603,88.774,0.24183
7.0313e+05,6.9853,86.801,0.24183
7.2266e+05,7.2054,88.774,0.24183
7.4219e+05,7.4254,88.774,0.24183
7.6172e+05,7.6504,86.801,0.24183
7.8125e+05,7.8704,88.774,0.24183
8.0078e+05,8.0904,88.774,0.24183
8.2031e+05,8.3104,88.774,0.24183
8.3984e+05,8.5304,88.774,0.24183
8.5938e+05,8.7554,86.801,0.24183
8.7891e+05,8.9754,88.774,0.24183
8.9844e+05,9.1955,88.774,0.24183
