x,rhoTime_1e-05,rhoRate_1e-05,rho
2.3438e+06,84.274,27.125,0.1138
2.3633e+06,84.994,27.125,0.098199
2.3828e+06,85.714,27.125,0.081458
2.4023e+06,86.434,27.125,0.064682
2.4219e+06,87.154,27.125,0.049102
2.4414e+06,87.869,27.315,0.035702
2.4609e+06,88.589,27.125,0.024972
2.4805e+06,89.309,27.125,0.016898
2.5e+06,90.03,27.125,0.011125
2.5195e+06,90.75,27.125,0.0071623
2.5391e+06,91.47,27.125,0.0045289
2.5586e+06,92.19,27.125,0.0028221
2.5781e+06,92.91,27.125,0.0017375
2.5977e+06,93.63,27.125,0.0010591
2.6172e+06,94.345,27.315,0.0006401
2.6367e+06,95.065,27.125,0.00038407
2.6563e+06,95.785,27.125,0.00022898
2.6758e+06,96.505,27.125,0.00013576
2.6953e+06,97.22,27.315,8.0087e-05
2.7148e+06,97.94,27.125,4.7032e-05
2.7344e+06,98.66,27.125,2.7507e-05
2.7539e+06,99.38,27.125,1.6027e-05
2.7734e+06,NaN,NaN,9.3058e-06
2.793e+06,NaN,NaN,5.3859e-06
2.8125e+06,NaN,NaN,3.1078e-06
2.832e+06,NaN,NaN,1.7882e-06
2.8516e+06,NaN,NaN,1.0262e-06
2.8711e+06,NaN,NaN,5.8746e-07
2.8906e+06,NaN,NaN,3.3549e-07
2.9102e+06,NaN,NaN,1.9116e-07
2.9297e+06,NaN,NaN,1.0869e-07
2.9492e+06,NaN,NaN,6.167e-08
2.9688e+06,NaN,NaN,3.4923e-08
2.9883e+06,NaN,NaN,1.9739e-08
3.0078e+06,NaN,NaN,1.1136e-08
3.0273e+06,NaN,NaN,6.2717e-09
3.0469e+06,NaN,NaN,3.5261e-09
3.0664e+06,NaN,NaN,1.9792e-09
3.0859e+06,NaN,NaN,1.1092e-09
3.1055e+06,NaN,NaN,6.2065e-10
3.125e+06,NaN,NaN,3.4676e-10
3.1445e+06,NaN,NaN,1.9346e-10
3.1641e+06,NaN,NaN,1.0777e-10
